Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
21-0468,192,,,,BB5L1M06,A2.1 (ADA),,,BB5L1M06,A1.1 (ADA),,,,,,,,,
21-0469,193,,,,BB4L3M10,A1B,,,BB4L3M10,B3,,,,,,,,,
21-0470,194,,,,BB4L3M03,C1A,,,BB4L3M03,STAIR2,,,,,,,,,
21-0471,195,,,,BB5L1M05,A2.1 (ADA),,,BB5L1M05,A1.1 (ADA),,,,,,,,,
21-0472,196,,,,BB5L2M05,A2,,,BB5L2M05,A1,,,,,,,,,
21-0473,197,,,,BB5L3M09,A1B,,,BB5L3M09,B3,,,,,,,,,
21-0474,198,,,,BB5L3M08,A1A,,,BB5L3M08,STAIR1,,,,,,,,,
21-0475,199,,,,BB4L2M10,A1B,,,BB4L2M10,B3,,,,,,,,,
21-0476,200,,,,BB5L1M04,C1A,,,BB5L1M04,BOILER,,,,,,,,,
21-0477,201,,,,BB5L3M06,A2,,,BB5L3M06,A1,,,,,,,,,
21-0478,202,,,,BB4L3M01,C1A,,,BB4L3M01,B3,,,,,,,,,
21-0479,203,,,,BB5L2M02,C1A,,,BB5L2M02,B3,,,,,,,,,
21-0480,204,,,,BB4L1M03,C1A,,,BB4L1M03,STAIR2,,,,,,,,,
21-0481,205,,,,BB5L1M10,A1B.1 (ADA),,,BB5L1M10,B3,,,,,,,,,
21-0482,206,,,,BB5L3M03,C1A,,,BB5L3M03,STAIR2,,,,,,,,,
21-0483,207,,,,BAL1M10,COMM SPACE,,,BAL1M10,LEASE OFF,,,,,,,,,
21-0484,208,,,,BB4L1M10,A1B.1 (ADA),,,BB4L1M10,B3,,,,,,,,,
21-0485,209,,,,BB5L1M08,A1A,,,BB5L1M08,STAIR1,,,,,,,,,
21-0486,210,,,,BB5L3M07,A1A,,,BB5L3M07,S1,,,,,,,,,
21-0487,211,,,,BB5L2M04,C1A,,,BB5L2M04,S1,,,,,,,,,
21-0488,212,,,,BB4L1M01,C1A,,,BB4L1M01,B3,,,,,,,,,
21-0489,213,,,,BB5L1M02,C1A,,,BB5L1M02,B3,,,,,,,,,
21-0490,214,,,,BB5L3M05,A2,,,BB5L3M05,A1,,,,,,,,,
21-0491,215,,,,BAL3M09,B1B,,,BAL3M09,STAIR 1,,,,,,,,,
21-0492,216,,,,BB5L3M04,C1A,,,BB5L3M04,S1,,,,,,,,,
21-0493,217,,,,BB4L2M01,C1A,,,BB4L2M01,B3,,,,,,,,,
21-0494,218,,,,BAL2M10,B1B,,,BAL2M10,B3,,,,,,,,,
21-0495,219,,,,BB4L2M03,C1A,,,BB4L2M03,STAIR2,,,,,,,,,
21-0496,220,,,,BAL1M08,MAIL ROOM,,,BAL1M08,GYM,,,,,,,,,
21-0497,221,,,,BAL2M08,B1,,,BAL2M08,A1,,,,,,,,,
21-0498,222,,,,BB5L1M01,C1A,,,BB5L1M01,B3,,,,,,,,,
21-0499,223,,,,BAL3M03,B1B,,,BAL3M03,STAIR 2,,,,,,,,,
21-0500,224,,,,BB5L3M02,C1A,,,BB5L3M02,B3,,,,,,,,,
21-0501,225,,,,BAL2M05,A1,,,BAL2M05,B1,,,,,,,,,
21-0502,226,,,,BB5L3M10,A1B,,,BB5L3M10,B3,,,,,,,,,
21-0503,227,,,,BAL2M02,B1B,,,BAL2M02,B3,,,,,,,,,
21-0504,228,,,,BB5L1M03,C1A,,,BB5L1M03,STAIR2,,,,,,,,,
21-0505,229,,,,BAL3M02,B1B,,,BAL3M02,B3,,,,,,,,,
21-0506,230,,,,BB5L2M10,A1B,,,BB5L2M10,B3,,,,,,,,,
21-0507,231,,,,BAL3M10,B1B,,,BAL3M10,B3,,,,,,,,,
21-0508,232,,,,BAL1M07,MAINT,,,BAL1M07,GYM,,,,,,,,,
21-0509,233,,,,BAL3M08,B1,,,BAL3M08,A1,,,,,,,,,
21-0510,234,,,,BB5L3M01,C1A,,,BB5L3M01,B3,,,,,,,,,
21-0511,235,,,,BB5L2M03,C1A,,,BB5L2M03,STAIR2,,,,,,,,,
21-0512,236,,,,BAL2M07,B1,,,BAL2M07,A1,,,,,,,,,
21-0513,237,,,,BAL1M11,COMM MENS RM,,,BAL1M11,LEASE OFF,,,,,,,,,
21-0514,238,,,,BB5L2M08,A1A,,,BB5L2M08,STAIR1,,,,,,,,,
21-0515,239,,,,BAL3M07,B1,,,BAL3M07,A1,,,,,,,,,
21-0516,240,,,,BB5L2M01,C1A,,,BB5L2M01,B3,,,,,,,,,
21-0517,241,,,,BAL1M06,FLEX ROOM,,,BAL1M06,A1,,,,,,,,,
21-0518,242,,,,BAL1M05,A1.1 (ADA),,,BAL1M05,A1,,,,,,,,,
21-0519,243,,,,BAL2M04,A1,,,BAL2M04,B1,,,,,,,,,
21-0520,244,,,,BAL3M11,B1B,,,BAL3M11,B3,,,,,,,,,
21-0521,245,,,,BAL2M09,B1B,,,BAL2M09,STAIR 1,,,,,,,,,
21-0522,246,,,,BAL3M06,B1,,,BAL3M06,B1,,,,,,,,,
21-0523,247,,,,BAL1M02,B1B.1 (ADA),,,BAL1M02,B3,,,,,,,,,
21-0524,248,,,,BAL2M11,B1B,,,BAL2M11,B3,,,,,,,,,
21-0525,249,,,,BAL1M09,WOMEN'S,,,BAL1M09,STAIR 1,,,,,,,,,
21-0526,250,,,,BAL2M06,B1,,,BAL2M06,B1,,,,,,,,,
21-0527,251,,,,BAL3M05,A1,,,BAL3M05,B1,,,,,,,,,
21-0528,252,,,,BAL1M01,B1B.1 (ADA),,,BAL1M01,B3,,,,,,,,,
21-0529,253,,,,BAL1M04,A1.1 (ADA),,,BAL1M04,BOILER,,,,,,,,,
21-0530,254,,,,BAL2M03,B1B,,,BAL2M03,STAIR 2,,,,,,,,,
21-0531,255,,,,BAL2M01,B1B,,,BAL2M01,B3,,,,,,,,,
22-0001,256,,,,BAL3M04,A1,,,BAL3M04,B1,,,,,,,,,
22-0002,257,,,,BAL1M03,B1B.1 (ADA),,,BAL1M03,STAIR 2,,,,,,,,,
22-0003,258,,,,BAL3M01,B1B,,,BAL3M01,B3,,,,,,,,,
