Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0241,96,,,,B1L2M18,C1,214,KITCHEN PEN,B1L2M18,"MEN'S, FITNESS","245A, 241",COMMON,,,,,,,
22-0242,97,,,,B1L6M26,S1.1.M (ADA),608,STUDIO,B1L6M26,S1.1.M (ADA),608,STUDIO,,,,,,,
22-0243,98,,,,B1L5M19,C1,514,BED/BATH,B1L5M19,B1,515,KITCHEN PEN,,,,,,,
22-0244,99,,,,B1L3M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","339, 333, 331, 337, 335",COMMON,B1L3M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","339, 333, 331, 337, 335",COMMON,,,,,,,
22-0245,100,,,,B1L3M23,S1-A,310,STUDIO,B1L3M23,S1-A,310,STUDIO,,,,,,,
22-0246,101,,,,B1L3M18,C1,314,KITCHEN PEN,B1L3M18,B1,313,BED/BATH,,,,,,,
22-0247,102,,,,B1L6M21,C1.1,612,KITCHEN PEN,B1L6M21,C1,611,KITCHEN PEN,,,,,,,
22-0248,103,,,,B1L4M31,"STAIR 2, STORAGE","409, 451",COMMON,B1L4M31,S1-B,401,STUDIO,,,,,,,
22-0249,104,,,,B1L2M27,S1,206,STUDIO,B1L2M27,S1,206,STUDIO,,,,,,,
22-0250,105,,,,B1L4M18,C1,414,KITCHEN PEN,B1L4M18,B1,415,BED/BATH,,,,,,,
22-0251,106,,,,B1L4M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","439, 433, 431, 437, 435",COMMON,B1L4M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","439, 433, 431, 437, 435",COMMON,,,,,,,
22-0252,107,,,,B1L6M19,C1.C (HI),614,BED/BATH,B1L6M19,B1.C (HI),615,KITCHEN PEN,,,,,,,
22-0253,108,,,,B1L3M27,S1,306,STUDIO,B1L3M27,S1,306,STUDIO,,,,,,,
22-0254,109,,,,B1L4M23,S1-A,410,STUDIO,B1L4M23,S1-A,410,STUDIO,,,,,,,
22-0255,110,,,,B1L5M18,C1,514,KITCHEN PEN,B1L5M18,B1,515,BED/BATH,,,,,,,
22-0256,111,,,,B1L4M29,B1,402,BED/BATH,B1L4M29,B1.1-A.C (HI),403,BED/BATH,,,,,,,
22-0257,112,,,,B1L5M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","539, 533, 531, 537, 535",COMMON,B1L5M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","539, 533, 531, 537, 535",COMMON,,,,,,,
22-0258,113,,,,B1L6M18,C1.C (HI),614,KITCHEN PEN,B1L6M18,B1.C (HI),615,BED/BATH,,,,,,,
22-0259,114,,,,B1L3M21,C1.1.C (HI),312,KITCHEN PEN,B1L3M21,C1,311,KITCHEN PEN,,,,,,,
22-0260,115,,,,B1L4M27,S1,406,STUDIO,B1L4M27,S1,406,STUDIO,,,,,,,
22-0261,116,,,,B1L2M30,B1,202,KITCHEN PEN,B1L2M30,B1.1,203,KITCHEN PEN,,,,,,,
22-0262,117,,,,B1L5M27,S1-A,506,STUDIO,B1L5M27,S1-A,506,STUDIO,,,,,,,
22-0263,118,,,,B1L5M31,"STAIR 2, STORAGE","509, 551",COMMON,B1L5M31,S1-D,501,STUDIO,,,,,,,
22-0264,119,,,,B1L6M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","A190, 633, 631, 635, 637",COMMON,B1L6M24,"JAN, UTIL, IDF, ELEV 1, LAUNDRY","A190, 633, 631, 635, 637",COMMON,,,,,,,
22-0265,120,,,,B1L5M23,S1-C,510,STUDIO,B1L5M23,S1-C,510,STUDIO,,,,,,,
22-0266,121,,,,B1L3M30,B1,302,KITCHEN PEN,B1L3M30,B1.1,303,KITCHEN PEN,,,,,,,
22-0267,122,,,,B1L3M20,C1.1.C (HI),312,BED/BATH,B1L3M20,C1,311,BED/BATH,,,,,,,
22-0268,123,,,,B1L2M28,S1,204,STUDIO,B1L2M28,S1,204,STUDIO,,,,,,,
