Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X),Proto (X)
22-0093,93,,,,BVL2M08,S1-C.1,V209,,BVL2M08,S1-A.1 (C)(HI),V210,,,,,,,,
22-0094,94,,,,BVL1M03,S2-B (M)(ADA),V103,,BVL1M03,S2-B,V104,,,,,,,,
22-0095,95,,,,BVL2M07,S1-A.1,V208,,BVL2M07,S1-A.1,V207,,,,,,,,
22-0096,96,,,,BVL2M06,S1-B,V205,,BVL2M06,1A,V206,,,,,,,,
22-0097,97,,,,BVL1M11,S1-A,V114,,BVL1M13,S1-A,V112,,,,,,,,
22-0098,98,,,,BVL1M05,"STAIR 1, LOBBY","V001, V1",,BVL1M05,1A,V106,,,,,,,,
22-0099,99,,,,BVL1M04,S2-B (M)(ADA),V103,,BVL1M04,S2-B,V104,,,,,,,,
22-0100,100,,,,BVL1M02,S2-A,V101,,BVL1M02,S2-A,V102,,,,,,,,
22-0101,101,,,,BVL1M10,S1-D (C)(HI),N/A,,BVL2M10,S1-D,V215,,,,,,,,
22-0102,102,,,,BVL1M12,S1-C (M)(ADA),V113,,BVL2M12,S1-C (M)(ADA),V213,,,,,,,,
22-0103,103,,,,BVL2M04,S2-B (C)(HI),V203,,BVL2M04,S2-B,V204,,,,,,,,
22-0104,104,,,,BVL2M09,STAIR 2,V2,,BVL2M09,ELEV/IDF/TRASH,"V3, V270, V280",,,,,,,,
22-0105,105,,,,BVL2M01,S2-A (M)(ADA),V201,,BVL2M01,S2-A,V202,,,,,,,,
22-0106,106,,,,BVL2M03,S2-B (C)(HI),V203,,BVL2M03,S2-B,V204,,,,,,,,
22-0107,107,,,,BVL2M02,S2-A (M)(ADA),V201,,BVL2M02,S2-A,V202,,,,,,,,
22-0108,108,,,,BVL2M11,S1-A,V214,,BVL2M13,S1-A,V212,,,,,,,,
22-0109,109,,,,BVL3M08,S1-C.1 (M)(ADA),V309,,BVL3M08,S1-C.1 (C)(HI),V310,,,,,,,,
