Serial Number,Build Sequence,Module Width,Module Length,Square Footage,HITCH BLM ID,HITCH Unit,HITCH Room,HITCH Room Type,REAR BLM ID,REAR Unit,REAR Room,REAR Room Type,Sidewall (X),Stair (X),3HR-Wall (X),Short (X),Double Studio (X),Sawbox (X)
25-0816,190,11.33,72.17,817.6861,B1L4M03,C2-C,454,LIV / KIT,B1L4M03,C2,455,LIV / KIT,,,,,,
25-0817,191,13.33,38.33,510.9389,B1L4M17,S1,440,STUDIO,B1L4M17,S1,440,STUDIO,,,,X,x,x
25-0818,192,11.33,72.17,817.6861,B1L5M03,C2-C,554,LIV / KIT,B1L5M03,C2,555,LIV / KIT,,,,,,
25-0819,193,11.33,73.83,836.4939,B1L6M02,C2-C,654,BED / BA / BED,B1L6M02,C2,655,BED / BA / BED,,,X,,,
25-0820,194,11.33,72.17,817.6861,B1L2M04,"C2-C, STOR","254, C236",BED / BA / STOR,B1L2M04,"C2, STOR","255, C235",BED / BA / STOR,,,,,,
25-0821,195,11.33,72.17,817.6861,B1L3M04,"C2-C, STOR","354, C336",BED / BA / STOR,B1L3M04,"C2, STOR","355, C335",BED / BA / STOR,,,,,,
25-0822,196,13.5,38.33,517.455,B1L5M21,S1,532,STUDIO,B1L5M21,S1,532,STUDIO,X,,,X,x,x
25-0823,197,11.33,72.17,817.6861,B1L4M04,"C2-C, STOR","454, C436",BED / BA / STOR,B1L4M04,"C2, STOR","455, C435",BED / BA / STOR,,,,,,
25-0824,198,11.33,40.33,456.9389,B1L3M13,TRASH / STOR,"C332, C331, C330, C329",COMMON,B1L3M13,TRASH / STOR,"C332, C331, C330, C329",COMMON,,,,X,,
25-0739,199,11.33,73.83,836.4939,B1L4M10,B1 / ELEV. 3,"450, E3-4",BED / ELEV,B1L4M10,B1  / COOR,451,BED,X,,,,,
25-0825,200,11.33,72.17,817.6861,B1L5M04,"C2-C, STOR","554, C536",BED / BA / STOR,B1L5M04,"C2, STOR","555, C535",BED / BA / STOR,,,,,,
25-0826,201,13.33,38.33,510.9389,B1L5M17,S1,540,STUDIO,B1L5M17,S1,540,STUDIO,,,,X,x,x
25-0827,202,11.33,72.17,817.6861,B1L6M04,"C2-C, STOR","654, C636",BED / BA / STOR,B1L6M04,"C2, STOR","655, C635",BED / BA / STOR,,,,,,
25-0828,203,13.33,40.33,537.5989,B1L2M15,S1.1,244,STUDIO,B1L2M15,S1.1,244,STUDIO,,,X,X,x,x
25-0829,204,11.33,64,725.12,B1L2M05,"B1, STOR","252, C234",BED / STOR,B1L2M05,"C2, STOR","253, C233",BED / BA / STOR,,,,,,
25-0830,205,11.33,64,725.12,B1L3M05,"B1, STOR","352, C334",BED / STOR,B1L3M05,"C2, STOR","353, C333",BED / BA / STOR,,,,,,
25-0831,206,13.5,38.33,517.455,B1L6M21,S1,632,STUDIO,B1L6M21,S1,632,STUDIO,X,,,X,x,x
25-0832,207,11.33,64,725.12,B1L4M05,"B1, STOR","452, C434",BED / STOR,B1L4M05,"C2, STOR","453, C433",BED / BA / STOR,,,,,,
25-0833,208,13.33,40.33,537.5989,B1L2M14,S1.1-M,246,STUDIO,B1L2M14,S1.1-M,246,STUDIO,,,,X,x,x
25-0834,209,11.33,64,725.12,B1L5M05,"B1, STOR","552, C534",BED / STOR,B1L5M05,"C2, STOR","553, C533",BED / BA / STOR,,,,,,
25-0835,210,11.33,64,725.12,B1L6M05,"B1, STOR","652, C634",BED / STOR,B1L6M05,"C2, STOR","653, C633",BED / BA / STOR,,,,,,
25-0836,211,13.33,40.33,537.5989,B1L3M15,S1.1,344,STUDIO,B1L3M15,S1.1,344,STUDIO,,,X,X,x,x
25-0837,212,11.33,64,725.12,B1L2M06,B1,252,LIV / KIT,B1L2M06,C2,253,LIV / KIT,,,,,,
25-0838,213,11.33,64,725.12,B1L3M06,B1,352,LIV / KIT,B1L3M06,C2,353,LIV / KIT,,,,,,
25-0839,214,11.33,64,725.12,B1L4M06,B1,452,LIV / KIT,B1L4M06,C2,453,LIV / KIT,,,,,,
25-0840,215,11.33,57,645.81,B1L2M31,B1,226,BED / BA,B1L2M31,B1-M,223,BED / BA,X,,,,,
25-0841,216,11.33,64,725.12,B1L5M06,B1,552,LIV / KIT,B1L5M06,C2,553,LIV / KIT,,,,,,
25-0842,217,11.33,64,725.12,B1L6M06,B1,652,LIV / KIT,B1L6M06,C2,653,LIV / KIT,,,,,,
25-0843,218,13.33,40.33,537.5989,B1L4M15,S1.1,444,STUDIO,B1L4M15,S1.1,444,STUDIO,,,X,X,x,x
25-0844,219,11.33,64.83,734.5239,B1L2M07,B1,252,BED / BA,B1L2M07,C2,253,BED / BA / BED,,,,,,
25-0845,220,13.33,40.33,537.5989,B1L3M14,S1.1-M,346,STUDIO,B1L3M14,S1.1-M,346,STUDIO,,,,X,x,x
25-0846,221,11.33,64.83,734.5239,B1L3M07,B1,352,BED / BA,B1L3M07,C2,353,BED / BA / BED,,,,,,
25-0847,222,11.33,40.33,456.9389,B1L4M13,TRASH / STOR,"C432, C431, C430, C429",COMMON,B1L4M13,TRASH / STOR,"C432, C431, C430, C429",COMMON,,,,X,,
25-0848,223,11.33,64.83,734.5239,B1L4M07,B1,452,BED / BA,B1L4M07,C2,453,BED / BA / BED,,,,,,
25-0849,224,13.33,40.33,537.5989,B1L5M15,S1.1,544,STUDIO,B1L5M15,S1.1,544,STUDIO,,,X,X,x,x
25-0850,225,11.33,64.83,734.5239,B1L6M07,B1,652,BED / BA,B1L6M07,C2,653,BED / BA / BED,,,,,,
25-0851,226,11.33,64.83,734.5239,B1L5M07,B1,552,BED / BA,B1L5M07,C2,553,BED / BA / BED,,,,,,
25-0852,227,13.33,40.33,537.5989,B1L4M14,S1.1-M,446,STUDIO,B1L4M14,S1.1-M,446,STUDIO,,,,X,x,x
25-0853,228,13.33,40.33,537.5989,B1L6M15,S1.1,644,STUDIO,B1L6M15,S1.1,644,STUDIO,,,X,X,x,x
25-0854,229,11.33,57,645.81,B1L2M08,B1,250,BED / BA,B1L2M08,B1 ,251,BED / BA,,,,,,
25-0855,230,13.33,38.33,510.9389,B1L2M18,S1,238,STUDIO,B1L2M18,S1,238,STUDIO,,,,X,x,x
25-0856,231,11.33,57,645.81,B1L3M08,B1,350,BED / BA,B1L3M08,B1 ,351,BED / BA,,,,,,
25-0857,232,11.33,57,645.81,B1L3M31,B1,326,BED / BA,B1L3M31,B1-M,323,BED / BA,X,,,,,
25-0858,233,11.33,57,645.81,B1L4M08,B1,450,BED / BA,B1L4M08,B1 ,451,BED / BA,,,,,,
25-0859,234,11.33,57,645.81,B1L5M08,B1,550,BED / BA,B1L5M08,B1 ,551,BED / BA,,,,,,
25-0860,235,13.33,40.33,537.5989,B1L2M16,S1.1,242,STUDIO,B1L2M16,S1.1,242,STUDIO,,,X,X,x,x
25-0861,236,11.33,57,645.81,B1L2M09,B1,250,LIV / KIT,B1L2M09,B1 ,251,LIV / KIT,,,,,,
25-0862,237,13.33,38.33,510.9389,B1L3M18,S1,338,STUDIO,B1L3M18,S1,338,STUDIO,,,,X,x,x
25-0863,238,11.33,57,645.81,B1L3M09,B1,350,LIV / KIT,B1L3M09,B1 ,351,LIV / KIT,,,,,,
